group,name,uscc,tier,track,form,origin,vintage,reason,risk_flags
一、标杆企业（对标文献中的成功案例）,隆平生物技术（海南）有限公司,91460200MA5T9TYA9Q,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),MA5,生物育种头部，三亚本地设立，园区最常被引用的标杆,
一、标杆企业（对标文献中的成功案例）,齐禾生科（三亚）生物科技有限公司,91460000MADXUBK28W,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAD,"基因编辑育种初创，典型""新设+技术密集""样本",
一、标杆企业（对标文献中的成功案例）,博瑞迪生物技术（海南省）有限公司,91460000MA5TB0LKXG,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MA5,分子育种技术服务，成长期样本,
一、标杆企业（对标文献中的成功案例）,舜丰生物科技（海南）有限公司,91460108MAA9020Y7B,A 核心赛道-优先访谈,南繁种业,独立法人,省内迁入/外设,MAA,基因编辑，省内迁入，可考察迁入动因,
一、标杆企业（对标文献中的成功案例）,大北农生物技术（海南）有限公司,91460000MACNY6GR42,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAC,上市公司育种研发主体,
一、标杆企业（对标文献中的成功案例）,三亚大北农创种基因科技有限公司,91460000MAA990LR76,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAA,同集团第二主体，可比较两主体分工,
一、标杆企业（对标文献中的成功案例）,中国种子集团有限公司三亚分公司,91460200760383243H,B 核心赛道-需核实,南繁种业,分支机构,本地(三亚),旧版(2015前),总部迁址叙事的核心对象，需核实法人实迁情况,分支机构(非独立法人)
一、标杆企业（对标文献中的成功案例）,中国种子集团有限公司,91110000100000438C,B 核心赛道-需核实,南繁种业,独立法人,省外迁入/外设,旧版(2015前),母体仍为北京首次登记，与上一条构成对照,首次登记在省外(迁入或外地主体设点)
一、标杆企业（对标文献中的成功案例）,国投种业科技有限公司,91460000MAD0EDTW9H,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAD,国家级资本直接进入种业的载体,
一、标杆企业（对标文献中的成功案例）,三亚垦丰农业科技有限公司,91460200324166525T,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),旧版(2015前),2015 年前老企业，可观察政策前后变化,
一、标杆企业（对标文献中的成功案例）,海南九圣禾分子技术科技有限公司,91460200MA7F7XPG1L,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),MA7,分子育种，三亚本地,
一、标杆企业（对标文献中的成功案例）,海南九圣禾农业科学研究院有限公司,91110108330348245Y,B 核心赛道-需核实,南繁种业,独立法人,省外迁入/外设,旧版(2015前),同系研究院主体，省外首次登记,首次登记在省外(迁入或外地主体设点)
一、标杆企业（对标文献中的成功案例）,海南荃银五星种业有限公司,91340100MA8N1C5X2R,B 核心赛道-需核实,南繁种业,独立法人,省外迁入/外设,MA其他,上市公司系，安徽首次登记，迁入样本,首次登记在省外(迁入或外地主体设点)
一、标杆企业（对标文献中的成功案例）,海南丰乐农化科技有限公司,91460000MAD2TQ4741,A 核心赛道-优先访谈,南繁种业,独立法人,本地(省级),MAD,上市公司系,
一、标杆企业（对标文献中的成功案例）,三亚深之蓝海洋科技有限公司,91469027MAD6XEKT96,A 核心赛道-优先访谈,深海海洋,独立法人,省内迁入/外设,MAD,水下机器人民营头部，深海赛道少见的技术型民企,
"二、央企国资集群（检验""招引""而非""培育""）",中国船舶重工集团公司第七六〇研究所海南分部,91460200MABMN7C404,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA其他,水声/声学国家队；注意其为分部而非独立法人,
"二、央企国资集群（检验""招引""而非""培育""）",中船重工海洋装备（海南）有限公司,91460200MA5T4PL060,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系集群核心,
"二、央企国资集群（检验""招引""而非""培育""）",中船重工申海装备（海南）有限公司,91460200MA5T4P2B52,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系,
"二、央企国资集群（检验""招引""而非""培育""）",中船重工瑞利海洋信息与装备保障（海南）有限公司,91460200MA5T4UA0XB,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系，海洋信息,
"二、央企国资集群（检验""招引""而非""培育""）",中船重工鹏程海洋装备（海南）有限公司,91460200MA5T59AX8X,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系,
"二、央企国资集群（检验""招引""而非""培育""）",中船海目测试技术（海南）有限公司,91460200MA5T4QKL40,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系，测试技术,
"二、央企国资集群（检验""招引""而非""培育""）",中船电子科技（三亚）有限公司,91460200MA5RH1QT9X,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系，电子,
"二、央企国资集群（检验""招引""而非""培育""）",中船（海南）科技发展有限公司,91460200MA5T4PNH83,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系,
"二、央企国资集群（检验""招引""而非""培育""）",海南中船蓝泰海洋工程有限公司,91460200MA5T6N3X7Q,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,中船系，海洋工程,
"二、央企国资集群（检验""招引""而非""培育""）",中船投资集团（海南）有限公司,91460000MA5TMLT63J,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA5,中船系资金主体，可问出资结构,
"二、央企国资集群（检验""招引""而非""培育""）",招商局深海装备研究院（三亚）有限公司,91460200MA5TALGU1E,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,招商局系研发主体,
"二、央企国资集群（检验""招引""而非""培育""）",招商三亚深海科技城开发有限公司,91460200MA5T7PXN74,A 核心赛道-优先访谈,深海海洋,独立法人,本地(三亚),MA5,招商局系园区开发,
"二、央企国资集群（检验""招引""而非""培育""）",招商（三亚）深海装备产业园有限公司,91460000MA5TPQA546,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA5,招商局系产业园,
"二、央企国资集群（检验""招引""而非""培育""）",三亚招商深海产业发展有限公司,91460000MAC6UE3G6E,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MAC,招商局系,
"二、央企国资集群（检验""招引""而非""培育""）",海南农垦南繁种业有限公司,91460200MA5T3H929R,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),MA5,省农垦系种业主体,
"二、央企国资集群（检验""招引""而非""培育""）",海南农垦南繁产业集团有限公司,91460200MA5RD9N610,A 核心赛道-优先访谈,南繁种业,独立法人,本地(三亚),MA5,省农垦系集团,
"二、央企国资集群（检验""招引""而非""培育""）",海南农垦南繁投资有限公司,91469033MA5TFJJW9T,A 核心赛道-优先访谈,南繁种业,独立法人,省内迁入/外设,MA5,省农垦系投资主体，资金侧抓手,
三、新型研发机构与院所平台,三亚崖州湾南海海洋深层水研究院有限公司,91460000MA7H4LH61T,A 核心赛道-优先访谈,深海海洋,独立法人,本地(省级),MA7,园区内深海研究院,
